Form_orth,Form_ipa,Form_meaning,Donor_orth,Donor_ipa
mina,mina,"desire; wish, aspiration, longing, appetite",,
miraka,miraka,milk,milk,mɪlk
Miriama,miriama,"A female given name, equivalent to English Miriam.",,
moa,moa,"moa a bird (extinct, Dinornis)",,
moana,moana,"ocean, sea",,
moe,moe,to sleep,,
moemoeā,moemoeaː,dream,,
moenanu,moenanu,nightmare,,
moepapa,moepapa,nightmare,,
Mohi,mohi,"A male given name, equivalent to English Moses.",,
Mohikau,mohikau,Moscow (the capital of Russia),,
moko,moko,Polynesian tattoo,,
mokomoko,mokomoko,gecko,,
mokonui,mokonui,dinosaur,,
mokopuna,mokopuna,grandchild,,
momo,momo,"a type, a kind, a species, a breed, a variety, a race, a genre",,
Mongōria,moŋoːria,Mongolia,,
moni,moni,"money, cash",,
more,more,taproot,,
morehu,morehu,"Followers of the Ratana Church, remnants of tribes, survivors.",,
Morotawa,morotawa,Moldova,,
motokā,motokaː,"car, automobile",motorcar,məʊtəkɑː
motopaika,motopaika,motorcycle,motorbike,məʊtəbaɪk
motu,motu,"island, country, land, nation, clump of trees, ship",,
moutere,moutere,(geography) island,,
muri,muri,after,,
mutu,mutu,to cease,,
mutunga,mutuŋa,end; finish; conclusion,,
Māehe,maːehe,March (month),March,mɑːt͡ʃ
māhū,maːhuː,to be gentle,,
Māka,maːka,"A male given name, equivalent to English Mark.",,
Mākere,maːkere,"A female given name, equivalent to English Margaret.",,
mākutu,maːkutu,"sorcery, curse",,
mānu,maːnu,"(stative) be floating, launch, afloat, Ka ahiahi ka",,
mānuka,maːnuka,"Leptospermum scoparium, a shrub or small tree native to New Zealand and southeast Australia.",,
Māori,maːori,"Maori, Māori, the Māori culture or ethnicity, 2006,",,
māori,maːori,"normal, usual, natural, common, ordinary, native, indigenous,",,
Māoritanga,maːoritaŋa,"Maoriness, Maoritanga",,
mārena,maːrena,"to marry, He tāne mārena ahau. ― I am a married man.",marriage,maɹɪd͡ʒ
mārenatanga,maːrenataŋa,marriage,,
Māta,maːta,"A female given name, equivalent to English Martha.",,
mātanga,maːtaŋa,"experienced person, expert, professional",,
mātau,maːtau,"knowledge, understanding, Ma te mātau ka ora., Through",,
mātauranga,maːtauraŋa,"knowledge, wisdom, education",,
Mātene,maːtene,"A male given name, equivalent to English Martin.",,
mātou,maːtou,"First person plural exclusive
we (we, but not you)",,
mātātoka,maːtaːtoka,fossil,,
māua,maːua,"First person dual exclusive, we (he/she and I, but",,
mētara,meːtara,metal,,
mīti,miːti,meat,,
mōkō,moːkoː,smoko,smoko,sməʊkəʊ
mōrearea,moːrearea,dangerous,,
mōrena,moːrena,"good morning, Synonym: ata mārie",(good) morning,ɡʊdmɔːnɪŋ
mūhore,muːhore,"futile, pointless",,
-na,-na,Used in contractions with particles of possession of third person pronouns.,,
nama,nama,"number, numeral, bill, invoice",number,nʌmbə
namu,namu,sandfly of the genus Austrosimulium.,,
nanenane,nanenane,goat,nanny,nani
neke,neke,snake,snake,sneɪk
-nga,-ŋa,Nominalizing suffix used to form derivate nouns.,,
ngahuru,ŋahuru,ten,,
ngeru,ŋeru,"cat (Felis silvestris catus), Synonyms: poti, tori",,
ngā,ŋaː,the (plural),,
Ngāmotu,ŋaːmotu,Ngāmotu (a city in New Zealand),,
ngārara,ŋaːrara,lizard,,
Ngāti,ŋaːti,"Prefix for an iwi or hapū; tribal group.
Ko Ngāti Te Kanawa he hapū nō Ngāti Maniapoto; arā ko ngā uri o Te KanawaTe Kanawa is a sub-tribe of Ngāti Maniapoto; and they are the descendants of Te Kanawa[1]",,
ngāwhā,ŋaːfaː,"geyser, fumarole, hot spring",,
ngāwhāriki,ŋaːfaːriki,"hot spring, sulfur; sulfur-rich volcanic rock",,
ngū,ŋuː,broad squid,,
niho,niho,"tooth, sharp edge",,
Nipono,nipono,Japan,,
