ID,Form,IPA,Language_ID
590,Peterehema,peterehema,0
591,Peterika,peterika,0
592,Pewhairangi,pefairaŋi,0
593,Pikiparia,pikiparia,0
594,Pinihia,pinihia,0
595,Pirihipene,pirihipene,0
596,Pirimouta,pirimouta,0
597,Piringikiwata,piriŋikiwata,0
598,PirinihiEruera,pirinihieruera,0
599,Piripopoli,piripopoli,0
600,Piritana,piritana,0
601,Piritanga,piritaŋa,0
602,Piritani,piritani,0
603,Piritene,piritene,0
604,PiriteneNui,piritenenui,0
605,Piriteni,piriteni,0
606,PiriteniNui,piriteninui,0
607,Piritone,piritone,0
608,Pitapaka,pitapaka,0
609,Piti,piti,0
610,Pitikeana,pitikeana,0
611,Pitinia,pitinia,0
612,Pitiroi,pitiroi,0
613,Pitiroi,pitiroi,0
614,Piupoata,piupoata,0
615,PoHakene,pohakene,0
616,Poahakena,poahakena,0
617,Poaneo,poaneo,0
618,PoatiKanitaina,poatikanitaina,0
619,Poatukera,poatukera,0
620,Pohakena,pohakena,0
621,Pohemia,pohemia,0
622,Pohena,pohena,0
623,PoHeripi,poheripi,0
624,Pohiriuma,pohiriuma,0
625,Poiahakena,poiahakena,0
626,PoiAnawuru,poianawuru,0
627,Poihakena,poihakena,0
628,PoiHakena,poihakena,0
629,PoiHakene,poihakene,0
630,PoiHiripi,poihiripi,0
631,Poipiripi,poipiripi,0
632,Pokupa,pokupa,0
633,Pomapei,pomapei,0
634,Pomopei,pomopei,0
635,Poneke,poneke,0
636,Ponio,ponio,0
637,Pope,pope,0
638,Pora,pora,0
639,Porana,porana,0
640,Poranihia,poranihia,0
641,Porapora,porapora,0
642,Porere,porere,0
643,PortJakson,portjakson,0
644,PotaHea,potahea,0
645,PotaMare,potamare,0
646,PotaRitiwhi,potaritifi,0
647,Potariwi,potariwi,0
648,PotiKupa,potikupa,0
649,Potimaute,potimaute,0
650,PotiRiwi,potiriwi,0
651,Potukara,potukara,0
652,Potukari,potukari,0
653,PotuWharaihi,potufaraihi,0
654,Pouhakena,pouhakena,0
655,Pouhakene,pouhakene,0
656,Powhata,pofata,0
657,Powhatu,pofatu,0
658,Puanama,puanama,0
659,Pukarehi,pukarehi,0
660,Pukareti,pukareti,0
661,PukeArapata,pukearapata,0
662,Puke-paraki,pukeparaki,0
663,Pungaupa,puŋaupa,0
664,Pura,pura,0
665,Puruhia,puruhia,0
666,Purukari,purukari,0
667,Putuna,putuna,0
668,Rahetone,rahetone,0
669,RaIhapera,raihapera,0
670,Raina,raina,0
671,Rakahia,rakahia,0
672,Rakanau,rakanau,0
673,Rakarana,rakarana,0
674,Ranana,ranana,0
675,Rangitone,raŋitone,0
676,Raparana,raparana,0
677,Raparini,raparini,0
678,Ratihipona,ratihipona,0
679,Rehini,rehini,0
680,Renemaka,renemaka,0
681,Repanona,repanona,0
682,Reri,reri,0
683,Rewapuru,rewapuru,0
684,Riha,riha,0
685,Rihena,rihena,0
686,Riheta,riheta,0
687,Riheta,riheta,0
688,Rihipene,rihipene,0
689,Rihipona,rihipona,0
690,Rima,rima,0
691,Ringori,riŋori,0
692,Riona,riona,0
693,Rione,rione,0
694,Riria,riria,0
695,Rititina,rititina,0
696,Rititona,rititona,0
697,Riwapuru,riwapuru,0
698,Riwipura,riwipura,0
699,Roha,roha,0
700,Roma,roma,0
701,Romari,romari,0
702,Romopoka,romopoka,0
703,Rona,rona,0
704,Ronahetana,ronahetana,0
705,Ronehetana,ronehetana,0
706,Rooma,rooma,0
707,Roterama,roterama,0
708,Rotoni,rotoni,0
709,Rouati,rouati,0
710,Ruhia,ruhia,0
711,Ruiha,ruiha,0
712,Samurna,samurna,0
713,Serapi,serapi,0
714,Sona,sona,0
715,Tahaiti,tahaiti,0
716,Tahamenia,tahamenia,0
717,Tahimania,tahimania,0
718,Tahimenia,tahimenia,0
719,Tahina,tahina,0
720,Tahiti,tahiti,0
721,Taibera,taibera,0
722,Taikirihi,taikirihi,0
723,Taikiriti,taikiriti,0
724,Taina,taina,0
725,Taipera,taipera,0
726,Taipere,taipere,0
727,Taiperia,taiperia,0
728,Taipiria,taipiria,0
729,Taira,taira,0
730,Takasta,takasta,0
731,Takei,takei,0
732,Takirihi,takirihi,0
733,Tamahi,tamahi,0
734,Tamakuha,tamakuha,0
735,Tamania,tamania,0
736,Tanaitini,tanaitini,0
737,Tanehia,tanehia,0
738,Tanemaka,tanemaka,0
739,Tanitana,tanitana,0
740,Tanite,tanite,0
741,Tanitini,tanitini,0
742,Taniwaka,taniwaka,0
743,Taparini,taparini,0
744,Tapirana,tapirana,0
745,Tapirini,tapirini,0
746,Tarahu,tarahu,0
747,Tarakona,tarakona,0
748,Taratari,taratari,0
749,Tatanera,tatanera,0
750,Teharonika,teharonika,0
751,Teirataone,teirataone,0
752,Tenamaki,tenamaki,0
753,Tenemaka,tenemaka,0
754,Tenemaki,tenemaki,0
755,Tepoa,tepoa,0
756,Tepoa,tepoa,0
757,"TePoti,Napier",tepotinapier,0
758,Terehi,terehi,0
759,Terehi,terehi,0
760,Terenete,terenete,0
761,Terewhi,terefi,0
762,Terieta,terieta,0
763,Tetini,tetini,0
764,Tewanapoata,tewanapoata,0
765,Tiamana,tiamana,0
766,Tiamari,tiamari,0
767,Tieni,tieni,0
768,Tikatana,tikatana,0
769,Tikiriha,tikiriha,0
770,Timoa,timoa,0
771,Tinaharima,tinaharima,0
772,Tiratewere,tiratewere,0
773,Tiratiraira,tiratiraira,0
774,Tireni,tireni,0
775,Tirkene,tirkene,0
776,TiriKingi,tirikiŋi,0
777,Tomingo,tomiŋo,0
778,Torena,torena,0
779,Toriniti,toriniti,0
780,Toroha,toroha,0
781,TuhoraPe,tuhorape,0
782,Tuponai,tuponai,0
783,Turini,turini,0
784,Turino,turino,0
785,Turona,turona,0
786,Turure,turure,0
787,Uparati,uparati,0
788,Uparatia,uparatia,0
789,Upatoria,upatoria,0
790,Upurati,upurati,0
791,Ura,ura,0
792,Uropi,uropi,0
793,Utika,utika,0
794,Wahaa,wahaa,0
795,Wahitone,wahitone,0
796,Waiti,waiti,0
797,Wanahi,wanahi,0
798,WanaTiemana,wanatiemana,0
799,WanaTimana,wanatimana,0
800,WapuWiniata,wapuwiniata,0
801,Wara,wara,0
802,Warakia,warakia,0
803,Waraparaiho,waraparaiho,0
804,Warapareiho,warapareiho,0
805,Warenehe,warenehe,0
806,Wehipota,wehipota,0
807,Weira,weira,0
808,Weiri,weiri,0
809,Weiti,weiti,0
810,Wela,wela,0
811,Wenihi,wenihi,0
812,Wera,wera,0
813,Werengitana,wereŋitana,0
814,Werengitanga,wereŋitaŋa,0
815,Weretana,weretana,0
816,Weretona,weretona,0
817,Weretoni,weretoni,0
818,Weri,weri,0
819,Weritana,weritana,0
820,Weta-Iniri,wetainiri,0
821,Wetere,wetere,0
822,Wiena,wiena,0
823,Wikitoria,wikitoria,0
824,Wina,wina,0
825,WiniataPia,winiatapia,0
826,Winiha,winiha,0
827,Winiha,winiha,0
828,Wiranowa,wiranowa,0
829,Wireni,wireni,0
830,Witana,witana,0
831,Witemupara,witemupara,0
832,Witeni,witeni,0
833,Witirana,witirana,0
834,Wi-Wi,wiwi,0
835,Wiwi,wiwi,0
836,Woromi,woromi,0
837,Wurutoka,wurutoka,0
838,Whaiti,faiti,0
839,Whihi,fihi,0
